x,y,Al 2p at%,C 1s at%,O 1s at%,Zn 2p at%,Cl 2p at%,S 2p at%,,
-45,-15,0.81,47.09,33,18.35,0.74,,99.99,
-45,-5,0.61,41.1,34.71,23.11,0.46,,99.99,
-45,5,0.73,32.34,38.03,28.24,0.66,,100,
-45,15,0.35,26.91,39.23,32.44,1.07,,100,
-45,25,0.29,22.6,41.13,35.18,0.8,,100,
-45,35,0.2,23.27,39.81,36.39,0.32,,99.99,
-45,45,0.17,50.38,30.01,18.8,0.65,,100.01,
-35,-15,1.02,28.35,41.81,28.81,,,99.99,
-35,-5,0.83,26.29,41.31,31.24,0.32,,99.99,
-35,5,0.51,20.82,42.53,35.67,0.47,,100,
-35,15,0.3,21.19,40.32,37.29,0.89,,,
-35,25,0.17,19.33,40.99,38.56,0.95,,,
-35,35,0.18,18.84,40.05,40.23,0.71,,,
-35,45,0.2,24.78,39.23,35.25,0.54,,,
-25,-15,1.02,22.71,42.95,32.42,0.9,,,
-25,-5,0.8,22.54,41.86,33.32,1.49,,,
-25,5,0.6,19.87,42.2,36.3,1.02,,,
-25,15,0.48,18.96,41.36,38.46,0.74,,,
-25,25,0.35,19.11,40.49,39.67,0.39,,,
-25,35,0.22,19,40.62,39.12,1.04,,,
-25,45,0.17,19.78,41.17,38.44,0.45,,,
-15,-25,1.15,28.95,40.07,28.67,1.16,,,
-15,-15,1.06,23.13,42.32,32.9,0.6,,,
-15,-5,0.81,23.88,40.68,34.12,0.52,,,
-15,5,0.67,21.28,40.51,36.77,0.76,,,
-15,15,0.45,20.49,41.69,36.88,0.49,,,
-15,25,0.34,19.87,40.94,38.18,0.66,,,
-15,35,0.18,20.48,40.53,38.02,0.8,,,
-15,45,0.25,20.04,41.15,37.49,1.07,,,
-5,-25,1.26,27.18,42.04,29.5,0.02,,,
-5,-15,0.99,22.3,42.52,34.16,0.03,,,
-5,-5,0.49,24.05,40.81,34.13,0.51,,,
-5,5,0.51,22.2,39.69,36.79,0.81,,,
-5,15,0.36,20.65,40.73,37.45,0.81,,,
-5,25,0.34,19.54,40.94,38.65,0.54,,,
-5,35,0.23,20.01,39.86,39.54,0.35,,,
-5,45,0.23,25.64,39.98,33.51,0.64,,,
5,-35,1.51,30.7,39.53,27.65,0.6,,,
5,-25,1.13,27.36,41.19,29.73,0.59,,,
5,-15,0.77,33.37,37.88,26.71,0.53,,0.73 Ag 3d SEEMS WEIRD,
5,-5,0.63,21.41,42.26,34.9,0.81,,,
5,5,0.35,22.1,41.97,34.97,0.61,,,
5,15,0.28,23.08,40.55,35.5,0.58,,,
5,25,0.18,27.87,38.18,33.29,0.48,,,
5,35,0.22,30.75,37.57,29,0.47,2,,
5,45,0.17,36.1,38.6,24.43,0.41,,0.30 Ca 2p,
15,-35,1.45,28.88,40.44,28.56,0.67,,,
15,-25,1.05,23.61,41.54,32.97,0.83,,,
15,-15,0.53,18.39,1.54,36.75,0.57,,,
15,-5,0.31,21.05,41.9,36.09,0.65,,,
15,5,0.36,22.68,40.46,36.01,0.49,,,
15,15,0.31,22.72,40.97,35.56,0.45,,,
15,25,0.09,19.76,41.44,37.54,1.17,,,
15,35,0.18,25.55,40.92,33.01,0.33,,,
15,45,0.28,41.41,35.65,21.01,0.48,,0.19 Ca 2p,0.98 N1s
25,-35,1.3,22.92,42.22,32.99,0.57,,,
25,-25,0.85,21.13,42.57,35.01,0.44,,,
25,-15,0.53,21.88,41.26,35.45,0.88,,,
25,-5,0.35,21.96,41.53,35.54,0.63,,,
25,5,0.18,22.41,41.46,35.61,0.35,,,
25,15,0.18,21.37,41.24,36.49,0.71,,,
25,25,0.14,18.48,40.85,37.83,0.35,2.35,,
25,35,0.11,35.2,38.54,25.45,0.71,,,
25,45,0.06,44.31,35.11,19.69,0.46,,0.37 Ca 2p,
35,-35,1.15,22.5,43.14,32.49,0.72,,,
35,-25,0.81,22.34,41.71,34.79,0.35,,,
35,-15,0.46,19.66,42.5,36.9,0.48,,,
35,-5,0.25,21.29,41.4,36.43,0.62,,,
35,5,0.25,22.76,39.95,36.55,0.5,,,
35,15,0.13,22.3,41.06,36.15,0.35,,,
35,25,0.2,18.78,42.28,38.29,0.45,,,
35,35,0.1,33.49,39.09,26.54,0.78,,,
35,45,0.07,45.68,34,18.33,0.41,,0.37 Ca 2p,1.14 N 1s
45,-35,0.91,32.81,40.07,25.92,0.29,,,
45,-25,0.84,26.46,40.25,31.83,0.61,,,
45,-15,0.31,20.87,41.27,36.95,0.61,,,
45,-5,0.32,25.26,40,33.83,0.6,,,
45,5,0.22,27.47,38.88,32.89,0.54,,,
45,15,0.13,23.03,41.01,35.35,0.48,,,
45,25,0.21,46.67,30.33,16.93,0.79,4.28,0.79 Ca 2p,
45,35,0.09,35.08,38.57,25.78,0.48,,,
45,45,0.11,66.81,24.08,6.61,0.58,,0.49 Ca 2p,1.32 N 1s
